"Name"|"Symbol"|"Type"|"Locus"|"OMIM"
"NADH:ubiquinone oxidoreductase core subunit S8"|"NDUFS8"|"gene with protein product"|"11q13.2"|602141
"NADH:ubiquinone oxidoreductase core subunit V1"|"NDUFV1"|"gene with protein product"|"11q13.2"|161015
"NADH:ubiquinone oxidoreductase core subunit V2"|"NDUFV2"|"gene with protein product"|"18p11.22"|600532
"NADH:ubiquinone oxidoreductase subunit A1"|"NDUFA1"|"gene with protein product"|"Xq24"|300078
"NADH:ubiquinone oxidoreductase complex assembly factor 4"|"NDUFAF4"|"gene with protein product"|"6q16.1"|611776
"NADH:ubiquinone oxidoreductase complex assembly factor 5"|"NDUFAF5"|"gene with protein product"|"20p12.1"|612360
"NADH:ubiquinone oxidoreductase subunit A11"|"NDUFA11"|"gene with protein product"|"19p13.3"|612638
"NADH:ubiquinone oxidoreductase complex assembly factor 3"|"NDUFAF3"|"gene with protein product"|"3p21.31"|612911
"NUBP iron-sulfur cluster assembly factor, mitochondrial"|"NUBPL"|"gene with protein product"|"14q12"|613621
"FAD dependent oxidoreductase domain containing 1"|"FOXRED1"|"gene with protein product"|"11q24.2"|613622
"NADH:ubiquinone oxidoreductase complex assembly factor 1"|"NDUFAF1"|"gene with protein product"|"15q15.1"|606934
"NADH:ubiquinone oxidoreductase subunit B9"|"NDUFB9"|"gene with protein product"|"8q24.13"|601445
"NADH:ubiquinone oxidoreductase subunit B3"|"NDUFB3"|"gene with protein product"|"2q33.1"|603839
"NADH:ubiquinone oxidoreductase subunit B10"|"NDUFB10"|"gene with protein product"|"16p13.3"|603843
"melanocortin 1 receptor"|"MC1R"|"gene with protein product"|"16q24.3"|155555
"phytanoyl-CoA 2-hydroxylase"|"PHYH"|"gene with protein product"|"10p13"|602026
"peroxisomal biogenesis factor 7"|"PEX7"|"gene with protein product"|"6q23.3"|601757
"interleukin 7 receptor"|"IL7R"|"gene with protein product"|"5p13.2"|146661
"complement C5"|"C5"|"gene with protein product"|"9q33.2"|120900
"complement C6"|"C6"|"gene with protein product"|"5p13.1"|217050
"complement C7"|"C7"|"gene with protein product"|"5p13.1"|217070
"complement C8 alpha chain"|"C8A"|"gene with protein product"|"1p32.2"|120950
"complement C8 beta chain"|"C8B"|"gene with protein product"|"1p32.2"|120960
"complement C8 gamma chain"|"C8G"|"gene with protein product"|"9q34.3"|120930
"complement C9"|"C9"|"gene with protein product"|"5p13.1"|120940
"CD3 delta subunit of T-cell receptor complex"|"CD3D"|"gene with protein product"|"11q23.3"|186790
"CD3 epsilon subunit of T-cell receptor complex"|"CD3E"|"gene with protein product"|"11q23.3"|186830
"CD247 molecule"|"CD247"|"gene with protein product"|"1q24.2"|186780
"protein tyrosine phosphatase receptor type C"|"PTPRC"|"gene with protein product"|"1q31.3-q32.1"|151460
"CLN8 transmembrane ER and ERGIC protein"|"CLN8"|"gene with protein product"|"8p23.3"|607837
"complement C2"|"C2"|"gene with protein product"|"6p21.33"|613927
"complement C1q A chain"|"C1QA"|"gene with protein product"|"1p36.12"|120550
"complement C1q B chain"|"C1QB"|"gene with protein product"|"1p36.12"|120570
"complement C1q C chain"|"C1QC"|"gene with protein product"|"1p36.12"|120575
"complement C1s"|"C1S"|"gene with protein product"|"12p13.31"|120580
"complement C1r"|"C1R"|"gene with protein product"|"12p13.31"|613785
"CCAAT enhancer binding protein epsilon"|"CEBPE"|"gene with protein product"|"14q11.2"|600749
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"|"SMARCD2"|"gene with protein product"|"17q23.3"|601736
"myotubularin 1"|"MTM1"|"gene with protein product"|"Xq28"|300415
"collagen type VI alpha 1 chain"|"COL6A1"|"gene with protein product"|"21q22.3"|120220
"collagen type VI alpha 2 chain"|"COL6A2"|"gene with protein product"|"21q22.3"|120240
"collagen type VI alpha 3 chain"|"COL6A3"|"gene with protein product"|"2q37.3"|120250
"collagen type XII alpha 1 chain"|"COL12A1"|"gene with protein product"|"6q13-q14.1"|120320
"titin"|"TTN"|"gene with protein product"|"2q31.2"|188840
"striated muscle enriched protein kinase"|"SPEG"|"gene with protein product"|"2q35"|615950
"bridging integrator 1"|"BIN1"|"gene with protein product"|"2q14.3"|601248
"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma"|"IKBKG"|"gene with protein product"|"Xq28"|300248
"dynamin 2"|"DNM2"|"gene with protein product"|"19p13.2"|602378
"myogenic factor 6"|"MYF6"|"gene with protein product"|"12q21.31"|159991
"myotubularin related protein 14"|"MTMR14"|"gene with protein product"|"3p25.3"|611089
"homogentisate 1,2-dioxygenase"|"HGD"|"gene with protein product"|"3q13.33"|607474
"aryl hydrocarbon receptor interacting protein"|"AIP"|"gene with protein product"|"11q13.2"|605555
"G protein-coupled receptor 101"|"GPR101"|"gene with protein product"|"Xq26.3"|300393
"TEK receptor tyrosine kinase"|"TEK"|"gene with protein product"|"9p21.2"|600221
"aldehyde dehydrogenase 5 family member A1"|"ALDH5A1"|"gene with protein product"|"6p22.3"|610045
"mevalonate kinase"|"MVK"|"gene with protein product"|"12q24.11"|251170
"splicing factor 3b subunit 4"|"SF3B4"|"gene with protein product"|"1q21.2"|605593
"uridine monophosphate synthetase"|"UMPS"|"gene with protein product"|"3q21.2"|613891
"GLI family zinc finger 3"|"GLI3"|"gene with protein product"|"7p14.1"|165240
"FYVE, RhoGEF and PH domain containing 1"|"FGD1"|"gene with protein product"|"Xp11.22"|300546
"LIM homeobox transcription factor 1 beta"|"LMX1B"|"gene with protein product"|"9q33.3"|602575
"isovaleryl-CoA dehydrogenase"|"IVD"|"gene with protein product"|"15q15.1"|607036
"DEAF1 transcription factor"|"DEAF1"|"gene with protein product"|"11p15.5"|602635
"retinoic acid induced 1"|"RAI1"|"gene with protein product"|"17p11.2"|607642
"FLII actin remodeling protein"|"FLII"|"gene with protein product"|"17p11.2"|600362
"IQ motif and Sec7 domain ArfGEF 2"|"IQSEC2"|"gene with protein product"|"Xp11.22"|300522
"alpha fetoprotein"|"AFP"|"gene with protein product"|"4q13.3"|104150
"RUNX family transcription factor 2"|"RUNX2"|"gene with protein product"|"6p21.1"|600211
"IKAROS family zinc finger 5"|"IKZF5"|"gene with protein product"|"10q26.13"|606238
"microtubule associated serine/threonine kinase like"|"MASTL"|"gene with protein product"|"10p12.1"|608221
"cytochrome c, somatic"|"CYCS"|"gene with protein product"|"7p15.3"|123970
"ankyrin repeat domain containing 26"|"ANKRD26"|"gene with protein product"|"10p12.1"|610855
"vacuolar protein sorting 13 homolog B"|"VPS13B"|"gene with protein product"|"8q22.2"|607817
"C-type lectin domain containing 7A"|"CLEC7A"|"gene with protein product"|"12p13.2"|606264
"interleukin 17 receptor A"|"IL17RA"|"gene with protein product"|"22q11.1"|605461
"interleukin 17F"|"IL17F"|"gene with protein product"|"6p12.2"|606496
"TRAF3 interacting protein 2"|"TRAF3IP2"|"gene with protein product"|"6q21"|607043
"interleukin 17 receptor C"|"IL17RC"|"gene with protein product"|"3p25.3"|610925
"UTP4 small subunit processome component"|"UTP4"|"gene with protein product"|"16q22.1"|607456
"triokinase and FMN cyclase"|"TKFC"|"gene with protein product"|"11q12.2"|615844
"solute carrier family 25 member 4"|"SLC25A4"|"gene with protein product"|"4q35.1"|103220
"acylglycerol kinase"|"AGK"|"gene with protein product"|"7q34"|610345
"solute carrier family 2 member 1"|"SLC2A1"|"gene with protein product"|"1p34.2"|138140
"TSPY like 1"|"TSPYL1"|"gene with protein product"|"6q22.1"|604714
"hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"|"H6PD"|"gene with protein product"|"1p36.22"|138090
"hydroxysteroid 11-beta dehydrogenase 1"|"HSD11B1"|"gene with protein product"|"1q32.2"|600713
"transmembrane serine protease 15"|"TMPRSS15"|"gene with protein product"|"21q21.1"|606635
"methionine adenosyltransferase 1A"|"MAT1A"|"gene with protein product"|"10q22.3"|610550
"zinc finger protein 750"|"ZNF750"|"gene with protein product"|"17q25.3"|610226
"piezo type mechanosensitive ion channel component 2"|"PIEZO2"|"gene with protein product"|"18p11.22-p11.21"|613629
"cytochrome P450 family 11 subfamily A member 1"|"CYP11A1"|"gene with protein product"|"15q24.1"|118485
"desert hedgehog signaling molecule"|"DHH"|"gene with protein product"|"12q13.12"|605423
"ribosomal protein L18"|"RPL18"|"gene with protein product"|"19q13.33"|604179
"ribosomal protein S27"|"RPS27"|"gene with protein product"|"1q21.3"|603702
"ribosomal protein L27"|"RPL27"|"gene with protein product"|"17q21.31"|607526
"ribosomal protein S15a"|"RPS15A"|"gene with protein product"|"16p12.3"|603674
"TSR2 ribosome maturation factor"|"TSR2"|"gene with protein product"|"Xp11.22"|300945
"ribosomal protein L35"|"RPL35"|"gene with protein product"|"9q33.3"|618315
"ribosomal protein L31"|"RPL31"|"gene with protein product"|"2q11.2"|617415
"adenosine deaminase 2"|"ADA2"|"gene with protein product"|"22q11.1"|607575
"ribosomal protein S20"|"RPS20"|"gene with protein product"|"8q12.1"|603682
"ribosomal protein S19"|"RPS19"|"gene with protein product"|"19q13.2"|603474
"ribosomal protein S24"|"RPS24"|"gene with protein product"|"10q22.3"|602412
"GATA binding protein 1"|"GATA1"|"gene with protein product"|"Xp11.23"|305371
"ribosomal protein S17"|"RPS17"|"gene with protein product"|"15q25.2"|180472
"ribosomal protein S7"|"RPS7"|"gene with protein product"|"2p25.3"|603658
"ribosomal protein L5"|"RPL5"|"gene with protein product"|"1p22.1"|603634
"ribosomal protein L11"|"RPL11"|"gene with protein product"|"1p36.11"|604175
"ribosomal protein L35a"|"RPL35A"|"gene with protein product"|"3q29"|180468
"ribosomal protein S10"|"RPS10"|"gene with protein product"|"6p21.31"|603632
"ribosomal protein S26"|"RPS26"|"gene with protein product"|"12q13.2"|603701
"ribosomal protein L26"|"RPL26"|"gene with protein product"|"17p13.1"|603704
"ribosomal protein L15"|"RPL15"|"gene with protein product"|"3p24.2"|604174
"ribosomal protein S29"|"RPS29"|"gene with protein product"|"14q21.3"|603633
"ribosomal protein S28"|"RPS28"|"gene with protein product"|"19p13.2"|603685
"Ts translation elongation factor, mitochondrial"|"TSFM"|"gene with protein product"|"12q14.1"|604723
"collagen type I alpha 1 chain"|"COL1A1"|"gene with protein product"|"17q21.33"|120150
"solute carrier family 29 member 3"|"SLC29A3"|"gene with protein product"|"10q22.1"|612373
"SH3 and cysteine rich domain 3"|"STAC3"|"gene with protein product"|"12q13.3"|615521
"BLM RecQ like helicase"|"BLM"|"gene with protein product"|"15q26.1"|604610
"arginase 1"|"ARG1"|"gene with protein product"|"6q23.2"|608313
"inositol 1,4,5-trisphosphate receptor type 1"|"ITPR1"|"gene with protein product"|"3p26.1"|147265
"N-acetylneuraminate synthase"|"NANS"|"gene with protein product"|"9q22.33"|605202
"sodium leak channel, non-selective"|"NALCN"|"gene with protein product"|"13q32.3-q33.1"|611549
"troponin I2, fast skeletal type"|"TNNI2"|"gene with protein product"|"11p15.5"|191043
"troponin T3, fast skeletal type"|"TNNT3"|"gene with protein product"|"11p15.5"|600692
"myosin heavy chain 3"|"MYH3"|"gene with protein product"|"17p13.1"|160720
"myosin binding protein C1"|"MYBPC1"|"gene with protein product"|"12q23.2"|160794
"endoplasmic reticulum-golgi intermediate compartment 1"|"ERGIC1"|"gene with protein product"|"5q35.1"|617946
"dihydroorotate dehydrogenase (quinone)"|"DHODH"|"gene with protein product"|"16q22.2"|126064
"nucleophosmin 1"|"NPM1"|"gene with protein product"|"5q35.1"|164040
"dyskerin pseudouridine synthase 1"|"DKC1"|"gene with protein product"|"Xq28"|300126
"telomerase reverse transcriptase"|"TERT"|"gene with protein product"|"5p15.33"|187270
"telomerase RNA component"|"TERC"|"Non-coding RNA"|"3q26.2"|602322
"TERF1 interacting nuclear factor 2"|"TINF2"|"gene with protein product"|"14q12"|604319
"NOP10 ribonucleoprotein"|"NOP10"|"gene with protein product"|"15q14"|606471
"NHP2 ribonucleoprotein"|"NHP2"|"gene with protein product"|"5q35.3"|606470
"U6 snRNA biogenesis phosphodiesterase 1"|"USB1"|"gene with protein product"|"16q21"|613276
"WD repeat containing antisense to TP53"|"WRAP53"|"gene with protein product"|"17p13.1"|612661
"CST telomere replication complex component 1"|"CTC1"|"gene with protein product"|"17p13.1"|613129
"regulator of telomere elongation helicase 1"|"RTEL1"|"gene with protein product"|"20q13.33"|608833
"poly(A)-specific ribonuclease"|"PARN"|"gene with protein product"|"16p13.12"|604212
"elongator complex protein 1"|"ELP1"|"gene with protein product"|"9q31.3"|603722
"DNA ligase 4"|"LIG4"|"gene with protein product"|"13q33.3"|601837
"NOP2/Sun RNA methyltransferase 2"|"NSUN2"|"gene with protein product"|"5p15.31"|610916
"dymeclin"|"DYM"|"gene with protein product"|"18q21.1"|607461
"methylenetetrahydrofolate reductase"|"MTHFR"|"gene with protein product"|"1p36.22"|607093
"carbamoyl-phosphate synthase 1"|"CPS1"|"gene with protein product"|"2q34"|608307
"argininosuccinate lyase"|"ASL"|"gene with protein product"|"7q11.21"|608310
"adenosine monophosphate deaminase 1"|"AMPD1"|"gene with protein product"|"1p13.2"|102770
"adenosine monophosphate deaminase 3"|"AMPD3"|"gene with protein product"|"11p15.4"|102772
"quinoid dihydropteridine reductase"|"QDPR"|"gene with protein product"|"4p15.32"|612676
"ADP ribosylation factor like GTPase 6 interacting protein 6"|"ARL6IP6"|"gene with protein product"|"2q23.3"|616495
"solute carrier family 12 member 6"|"SLC12A6"|"gene with protein product"|"15q14"|604878
"transient receptor potential cation channel subfamily V member 6"|"TRPV6"|"gene with protein product"|"7q34"|606680
"calcium sensing receptor"|"CASR"|"gene with protein product"|"3q13.33-q21.1"|601199
"gap junction protein alpha 1"|"GJA1"|"gene with protein product"|"6q22.31"|121014
"NK2 homeobox 5"|"NKX2-5"|"gene with protein product"|"5q34"|600584
"lon peptidase 1, mitochondrial"|"LONP1"|"gene with protein product"|"19p13.2"|605490
"zinc finger protein, FOG family member 2"|"ZFPM2"|"gene with protein product"|"8q23"|603693
"GATA binding protein 6"|"GATA6"|"gene with protein product"|"18q11.2"|601656
"collectrin, amino acid transport regulator"|"CLTRN"|"gene with protein product"|"Xp22.2"|300631
"solute carrier family 6 member 19"|"SLC6A19"|"gene with protein product"|"5p15.33"|608893
"4-hydroxyphenylpyruvate dioxygenase"|"HPD"|"gene with protein product"|"12q24.31"|609695
"cathepsin A"|"CTSA"|"gene with protein product"|"20q13.12"|613111
"mitogen-activated protein kinase kinase kinase 20"|"MAP3K20"|"gene with protein product"|"2q31.1"|609479
"selenoprotein N"|"SELENON"|"gene with protein product"|"1p36.11"|606210
"myosin light chain 2"|"MYL2"|"gene with protein product"|"12q24.11"|160781
"integrin subunit alpha 7"|"ITGA7"|"gene with protein product"|"12q13.2"|600536
"3-hydroxyacyl-CoA dehydratase 1"|"HACD1"|"gene with protein product"|"10p12.33"|610467
"succinate-CoA ligase ADP-forming subunit beta"|"SUCLA2"|"gene with protein product"|"13q14.2"|603921
"myosin heavy chain 7"|"MYH7"|"gene with protein product"|"14q11.2"|160760
"fibrillin 1"|"FBN1"|"gene with protein product"|"15q21.1"|134797
"ADAMTS like 4"|"ADAMTSL4"|"gene with protein product"|"1q21.2"|610113
"MYCN proto-oncogene, bHLH transcription factor"|"MYCN"|"gene with protein product"|"2p24.3"|164840
"LIM domain only 1"|"LMO1"|"gene with protein product"|"11p15.4"|186921
"paired like homeobox 2B"|"PHOX2B"|"gene with protein product"|"4p13"|603851
"DNA topoisomerase II alpha"|"TOP2A"|"gene with protein product"|"17q21.2"|126430
"ALK receptor tyrosine kinase"|"ALK"|"gene with protein product"|"2p23.2-p23.1"|105590
"HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1"|"HACE1"|"gene with protein product"|"6q16.3"|610876
"lin-28 homolog B"|"LIN28B"|"gene with protein product"|"6q16.3-q21"|611044
"HRas proto-oncogene, GTPase"|"HRAS"|"gene with protein product"|"11p15.5"|190020
"transient receptor potential cation channel subfamily V member 4"|"TRPV4"|"gene with protein product"|"12q24.11"|605427
"CCHC-type zinc finger nucleic acid binding protein"|"CNBP"|"gene with protein product"|"3q21.3"|116955
"solute carrier family 26 member 4"|"SLC26A4"|"gene with protein product"|"7q22.3"|605646
"potassium inwardly rectifying channel subfamily J member 10"|"KCNJ10"|"gene with protein product"|"1q23.2"|602208
"forkhead box I1"|"FOXI1"|"gene with protein product"|"5q35.1"|601093
"TNF receptor superfamily member 11b"|"TNFRSF11B"|"gene with protein product"|"8q24.12"|602643
"TNF receptor superfamily member 11a"|"TNFRSF11A"|"gene with protein product"|"18q21.33"|603499
"carbonic anhydrase 2"|"CA2"|"gene with protein product"|"8q21.2"|611492
"DCC netrin 1 receptor"|"DCC"|"gene with protein product"|"18q21.2"|120470
"roundabout guidance receptor 3"|"ROBO3"|"gene with protein product"|"11q24.2"|608630
"inositol polyphosphate phosphatase like 1"|"INPPL1"|"gene with protein product"|"11q13.4"|600829
"acyl-CoA oxidase 1"|"ACOX1"|"gene with protein product"|"17q25.1"|609751
"cholinergic receptor muscarinic 3"|"CHRM3"|"gene with protein product"|"1q43"|118494
"folliculin"|"FLCN"|"gene with protein product"|"17p11.2"|607273
"septin 9"|"SEPTIN9"|"gene with protein product"|"17q25.3"|604061
"SRY-box transcription factor 9"|"SOX9"|"gene with protein product"|"17q24.3"|608160
"cathepsin K"|"CTSK"|"gene with protein product"|"1q21.3"|601105
"filamin A"|"FLNA"|"gene with protein product"|"Xq28"|300017
"CXADR like membrane protein"|"CLMP"|"gene with protein product"|"11q24.1"|611693
"aldolase, fructose-bisphosphate B"|"ALDOB"|"gene with protein product"|"9q31.1"|612724
"Fli-1 proto-oncogene, ETS transcription factor"|"FLI1"|"gene with protein product"|"11q24.3"|193067
"transmembrane protein 138"|"TMEM138"|"gene with protein product"|"11q12.2"|614459
"zinc finger protein 423"|"ZNF423"|"gene with protein product"|"16q12.1"|604557
"protein tyrosine phosphatase receptor type F"|"PTPRF"|"gene with protein product"|"1p34.2"|179590
"tetratricopeptide repeat domain 7A"|"TTC7A"|"gene with protein product"|"2p21"|609332
"transcriptional repressor GATA binding 1"|"TRPS1"|"gene with protein product"|"8q23.3"|604386
"exostosin glycosyltransferase 1"|"EXT1"|"gene with protein product"|"8q24.11"|608177
"gap junction protein beta 6"|"GJB6"|"gene with protein product"|"13q12.11"|604418
"patatin like phospholipase domain containing 6"|"PNPLA6"|"gene with protein product"|"19p13.2"|603197
"collagen type XI alpha 1 chain"|"COL11A1"|"gene with protein product"|"1p21.1"|120280
"mutL homolog 1"|"MLH1"|"gene with protein product"|"3p22.2"|120436
"mutS homolog 2"|"MSH2"|"gene with protein product"|"2p21-p16.3"|609309
"mutS homolog 6"|"MSH6"|"gene with protein product"|"2p16.3"|600678
"plexin D1"|"PLXND1"|"gene with protein product"|"3q22.1"|604282
"REV3 like, DNA directed polymerase zeta catalytic subunit"|"REV3L"|"gene with protein product"|"6q21"|602776
"leptin receptor"|"LEPR"|"gene with protein product"|"1p31.3"|601007
"collagen type V alpha 2 chain"|"COL5A2"|"gene with protein product"|"2q32.2"|120190
"collagen type V alpha 1 chain"|"COL5A1"|"gene with protein product"|"9q34.3"|120215
"ATP binding cassette subfamily A member 7"|"ABCA7"|"gene with protein product"|"19p13.3"|605414
"presenilin 1"|"PSEN1"|"gene with protein product"|"14q24.2"|104311
"presenilin 2"|"PSEN2"|"gene with protein product"|"1q42.13"|600759
"amyloid beta precursor protein"|"APP"|"gene with protein product"|"21q21.3"|104760
"sortilin related receptor 1"|"SORL1"|"gene with protein product"|"11q24.1"|602005
"translocase of outer mitochondrial membrane 40"|"TOMM40"|"gene with protein product"|"19q13.32"|608061
"G protein-coupled receptor 143"|"GPR143"|"gene with protein product"|"Xp22.2"|300808
"TATA-box binding protein associated factor, RNA polymerase I subunit A"|"TAF1A"|"gene with protein product"|"1q41"|604903
"myosin binding protein C3"|"MYBPC3"|"gene with protein product"|"11p11.2"|600958
"phosphopantothenoylcysteine synthetase"|"PPCS"|"gene with protein product"|"1p34.2"|609853
"cyclase associated actin cytoskeleton regulatory protein 2"|"CAP2"|"gene with protein product"|"6p22.3"|618385
"ATP binding cassette subfamily C member 9"|"ABCC9"|"gene with protein product"|"12p12.1"|601439
"actin alpha cardiac muscle 1"|"ACTC1"|"gene with protein product"|"15q14"|102540
"succinate dehydrogenase complex flavoprotein subunit A"|"SDHA"|"gene with protein product"|"5p15.33"|600857
"sarcoglycan delta"|"SGCD"|"gene with protein product"|"5q33.2-q33.3"|601411
"tafazzin, phospholipid-lysophospholipid transacylase"|"TAFAZZIN"|"gene with protein product"|"Xq28"|300394
"titin-cap"|"TCAP"|"gene with protein product"|"17q12"|604488
"troponin I3, cardiac type"|"TNNI3"|"gene with protein product"|"19q13.42"|191044
"troponin T2, cardiac type"|"TNNT2"|"gene with protein product"|"1q32.1"|191045
"tropomyosin 1"|"TPM1"|"gene with protein product"|"15q22.2"|191010
"crystallin alpha B"|"CRYAB"|"gene with protein product"|"11q23.1"|123590
"cysteine and glycine rich protein 3"|"CSRP3"|"gene with protein product"|"11p15.1"|600824
"desmin"|"DES"|"gene with protein product"|"2q35"|125660
"dystrophin"|"DMD"|"gene with protein product"|"Xp21.2-p21.1"|300377
"desmoglein 2"|"DSG2"|"gene with protein product"|"18q12.1"|125671
"fukutin"|"FKTN"|"gene with protein product"|"9q31.2"|607440
"LIM domain binding 3"|"LDB3"|"gene with protein product"|"10q23.2"|605906
"dolichol kinase"|"DOLK"|"gene with protein product"|"9q34.11"|610746
"thymopoietin"|"TMPO"|"gene with protein product"|"12q23.1"|188380
"troponin C1, slow skeletal and cardiac type"|"TNNC1"|"gene with protein product"|"3p21.1"|191040
"vinculin"|"VCL"|"gene with protein product"|"10q22.2"|193065
"actinin alpha 2"|"ACTN2"|"gene with protein product"|"1q43"|102573
"four and a half LIM domains 2"|"FHL2"|"gene with protein product"|"2q12.2"|602633
"phospholamban"|"PLN"|"gene with protein product"|"6q22.31"|172405
"BAG cochaperone 3"|"BAG3"|"gene with protein product"|"10q26.11"|603883
"RNA binding motif protein 20"|"RBM20"|"gene with protein product"|"10q25.2"|613171
"nexilin F-actin binding protein"|"NEXN"|"gene with protein product"|"1p31.1"|613121
"thioredoxin reductase 2"|"TXNRD2"|"gene with protein product"|"22q11.21"|606448
"GATA zinc finger domain containing 1"|"GATAD1"|"gene with protein product"|"7q21.2"|614518
"laminin subunit alpha 4"|"LAMA4"|"gene with protein product"|"6q21"|600133
"PR/SET domain 16"|"PRDM16"|"gene with protein product"|"1p36.32"|605557
"ankyrin repeat domain 1"|"ANKRD1"|"gene with protein product"|"10q23.31"|609599
"desmoplakin"|"DSP"|"gene with protein product"|"6p24.3"|125647
"heart and neural crest derivatives expressed 2"|"HAND2"|"gene with protein product"|"4q34.1"|602407
"BAG cochaperone 5"|"BAG5"|"gene with protein product"|"14q32.33"|
"RAD51 recombinase"|"RAD51"|"gene with protein product"|"15q15.1"|179617
"mitotic arrest deficient 2 like 2"|"MAD2L2"|"gene with protein product"|"1p36.22"|604094
"X-ray repair cross complementing 2"|"XRCC2"|"gene with protein product"|"7q36.1"|600375
"ring finger and WD repeat domain 3"|"RFWD3"|"gene with protein product"|"16q23.1"|614151
"BRCA2 DNA repair associated"|"BRCA2"|"gene with protein product"|"13q13.1"|600185
"BRCA1 interacting helicase 1"|"BRIP1"|"gene with protein product"|"17q23.2"|605882
"ERCC excision repair 4, endonuclease catalytic subunit"|"ERCC4"|"gene with protein product"|"16p13.12"|133520
"FA complementation group A"|"FANCA"|"gene with protein product"|"16q24.3"|607139
"FA complementation group B"|"FANCB"|"gene with protein product"|"Xp22.2"|300515
"FA complementation group C"|"FANCC"|"gene with protein product"|"9q22.32"|613899
"FA complementation group D2"|"FANCD2"|"gene with protein product"|"3p25.3"|613984
"FA complementation group E"|"FANCE"|"gene with protein product"|"6p21.31"|613976
"FA complementation group F"|"FANCF"|"gene with protein product"|"11p14.3"|613897
"FA complementation group G"|"FANCG"|"gene with protein product"|"9p13.3"|602956
"FA complementation group L"|"FANCL"|"gene with protein product"|"2p16.1"|608111
"FA complementation group M"|"FANCM"|"gene with protein product"|"14q21.2"|609644
"FA complementation group I"|"FANCI"|"gene with protein product"|"15q26.1"|611360
"partner and localizer of BRCA2"|"PALB2"|"gene with protein product"|"16p12.2"|610355
"RAD51 paralog C"|"RAD51C"|"gene with protein product"|"17q22"|602774
"SLX4 structure-specific endonuclease subunit"|"SLX4"|"gene with protein product"|"16p13.3"|613278
"ubiquitin conjugating enzyme E2 T"|"UBE2T"|"gene with protein product"|"1q32.1"|610538
"nebulette"|"NEBL"|"gene with protein product"|"10p12.31"|605491
"caveolin 3"|"CAV3"|"gene with protein product"|"3p25.3"|601253
"protein kinase AMP-activated non-catalytic subunit gamma 2"|"PRKAG2"|"gene with protein product"|"7q36.1"|602743
"myosin light chain 3"|"MYL3"|"gene with protein product"|"3p21.31"|160790
"myosin light chain kinase 2"|"MYLK2"|"gene with protein product"|"20q11.21"|606566
"four and a half LIM domains 1"|"FHL1"|"gene with protein product"|"Xq26.3"|300163
"mitochondrially encoded tRNA-Ile (AUU/C)"|"MT-TI"|"Non-coding RNA"|"mitochondria"|590045
"mitochondrially encoded tRNA-Gly (GGN)"|"MT-TG"|"Non-coding RNA"|"mitochondria"|590035
"myozenin 2"|"MYOZ2"|"gene with protein product"|"4q26"|605602
"junctophilin 2"|"JPH2"|"gene with protein product"|"20q13.12"|605267
"calreticulin 3"|"CALR3"|"gene with protein product"|"19p13.11"|611414
"mitochondrially encoded 16S rRNA"|"MT-RNR2"|"Non-coding RNA"|"mitochondria"|561010
"aldehyde dehydrogenase 3 family member A2"|"ALDH3A2"|"gene with protein product"|"17p11.2"|609523
"nuclear receptor binding SET domain protein 1"|"NSD1"|"gene with protein product"|"5q35.3"|606681
"SET domain containing 2, histone lysine methyltransferase"|"SETD2"|"gene with protein product"|"3p21.31"|612778
"APC regulator of WNT signaling pathway 2"|"APC2"|"gene with protein product"|"19p13.3"|612034
"ORAI calcium release-activated calcium modulator 1"|"ORAI1"|"gene with protein product"|"12q24.31"|610277
"stromal interaction molecule 1"|"STIM1"|"gene with protein product"|"11p15.4"|605921
"G protein subunit alpha q"|"GNAQ"|"gene with protein product"|"9q21.2"|600998
"RNA binding motif protein 8A"|"RBM8A"|"gene with protein product"|"1q21.1"|605313
"homeobox D13"|"HOXD13"|"gene with protein product"|"2q31.1"|142989
"cytochrome P450 family 27 subfamily A member 1"|"CYP27A1"|"gene with protein product"|"2q35"|606530
"embryonic ectoderm development"|"EED"|"gene with protein product"|"11q14.2"|605984
"enhancer of zeste 2 polycomb repressive complex 2 subunit"|"EZH2"|"gene with protein product"|"7q36.1"|601573
"SUZ12 polycomb repressive complex 2 subunit"|"SUZ12"|"gene with protein product"|"17q11.2"|606245
"hedgehog acyltransferase"|"HHAT"|"gene with protein product"|"1q32.2"|605743
"potassium voltage-gated channel subfamily Q member 2"|"KCNQ2"|"gene with protein product"|"20q13.33"|602235
"BR serine/threonine kinase 2"|"BRSK2"|"gene with protein product"|"11p15.5"|609236
"mediator complex subunit 12L"|"MED12L"|"gene with protein product"|"3q25.1"|611318
"SET domain containing 1B, histone lysine methyltransferase"|"SETD1B"|"gene with protein product"|"12q24.31"|611055
"clathrin heavy chain"|"CLTC"|"gene with protein product"|"17q23.1"|118955
"intersectin 1"|"ITSN1"|"gene with protein product"|"21q22.11"|602442
"prickle planar cell polarity protein 2"|"PRICKLE2"|"gene with protein product"|"3p14.1"|608501
"chromosome alignment maintaining phosphoprotein 1"|"CHAMP1"|"gene with protein product"|"13q34"|616327
"HIVEP zinc finger 2"|"HIVEP2"|"gene with protein product"|"6q24.2"|143054
